Consumer Wise Detail Report,,,,,,,,,,,,,,,,,,,,,,,,,,Run Date,11-Nov-25
Col Centre Code,Receipt Date,Book Number,Receipt Number,Receipt Type,BU,PC,Consumer No,Mode,Bank,IFSC,MICR,Cheque No,Cheque Date,Receipt Amount,Submitted,B60 Generated ,Modification,Cheque Bounce,"Receipt Source
",Ledger Updation Date,B80 Revision Id,B80 Date,Cheque Realised Date,B60 Date,Theft Consumer Name,Revision ID,CIR ID
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005898,01,0965,5,196041921619,CASH,-----------------------, ----------,---------,------,,500,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005899,01,0965,6,196711988779,CASH,-----------------------, ----------,---------,------,,1000,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005900,01,0965,5,195011940671,CASH,-----------------------, ----------,---------,------,,330,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005901,01,0965,6,196710118347,CASH,-----------------------, ----------,---------,------,,900,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005902,01,0965,6,196011988433,CASH,-----------------------, ----------,---------,------,,3000,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005903,01,0965,5,195011926334,CASH,-----------------------, ----------,---------,------,,520,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005904,01,0965,1,195941965259,CASH,-----------------------, ----------,---------,------,,1080,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005905,01,0965,6,196710000630,CASH,-----------------------, ----------,---------,------,,1240,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005906,01,0965,6,196520000749,CASH,-----------------------, ----------,---------,------,,220,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005907,01,0965,5,195500065244,CASH,-----------------------, ----------,---------,------,,380,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005908,01,0965,5,195551924187,CASH,-----------------------, ----------,---------,------,,130,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005909,01,0965,5,195741943676,CASH,-----------------------, ----------,---------,------,,480,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005910,01,0965,5,195511904442,CASH,-----------------------, ----------,---------,------,,320,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005911,01,0965,6,196710000648,CASH,-----------------------, ----------,---------,------,,1000,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005912,01,0965,5,195890090775,CASH,-----------------------, ----------,---------,------,,200,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005913,01,0965,0,196530000666,CASH,-----------------------, ----------,---------,------,,1430,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005914,01,0965,5,196530000739,CASH,-----------------------, ----------,---------,------,,310,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005915,01,0965,5,196530114971,CASH,-----------------------, ----------,---------,------,,200,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005916,01,0965,6,196710000796,CASH,-----------------------, ----------,---------,------,,240,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005917,01,0965,6,195960000710,CASH,-----------------------, ----------,---------,------,,430,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005918,01,0965,5,196530000992,CASH,-----------------------, ----------,---------,------,,160,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005919,01,0965,5,195891935663,CASH,-----------------------, ----------,---------,------,,480,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005920,01,0965,5,195621934932,CASH,-----------------------, ----------,---------,------,,1220,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005921,01,0965,5,195011939100,CASH,-----------------------, ----------,---------,------,,420,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005922,01,0965,5,196911951781,CASH,-----------------------, ----------,---------,------,,380,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005923,01,0965,5,195200001376,CASH,-----------------------, ----------,---------,------,,670,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005924,01,0965,5,195570071047,CASH,-----------------------, ----------,---------,------,,500,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005925,01,0965,5,195570071454,CASH,-----------------------, ----------,---------,------,,320,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005926,01,0965,5,195570071489,CASH,-----------------------, ----------,---------,------,,210,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005927,01,0965,5,195290001418,CASH,-----------------------, ----------,---------,------,,490,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005928,01,0965,5,195010001957,CHEQUE,BANK OF BARODA,BARB0MEDHAX,415012508,000830,31-Oct-25,10000,Y,Y,--------,N,Occs,07-Nov-25,,,,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005929,01,0965,5,195010001329,CASH,-----------------------, ----------,---------,------,,1830,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005930,01,0965,5,195011987112,CASH,-----------------------, ----------,---------,------,,1340,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005931,01,0965,8,195150002384,NEFT,-----------------------, ----------,---------,------,,10800,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005932,01,0965,2,195820001082,CASH,-----------------------, ----------,---------,------,,1390,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005933,01,0965,5,195200001872,NEFT,-----------------------, ----------,---------,------,,930,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005934,01,0965,5,195011933748,CASH,-----------------------, ----------,---------,------,,580,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005935,01,0965,5,196071934227,CASH,-----------------------, ----------,---------,------,,560,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005936,01,0965,5,196070000891,CASH,-----------------------, ----------,---------,------,,560,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005937,01,0965,5,195501925930,CASH,-----------------------, ----------,---------,------,,410,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005938,01,0965,5,195280000901,CASH,-----------------------, ----------,---------,------,,420,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005939,01,0965,5,195551936070,CASH,-----------------------, ----------,---------,------,,1300,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005940,01,0965,5,196351924511,CASH,-----------------------, ----------,---------,------,,350,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005941,01,0965,5,187170001012,CASH,-----------------------, ----------,---------,------,,800,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005942,01,0965,5,195010054465,CASH,-----------------------, ----------,---------,------,,320,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005943,01,0965,1,190430006430,CASH,-----------------------, ----------,---------,------,,160,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005944,01,0965,2,196510002280,NEFT,-----------------------, ----------,---------,------,,13450,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005945,01,0965,2,196511949485,NEFT,-----------------------, ----------,---------,------,,17130,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005946,01,0965,5,195500002447,CASH,-----------------------, ----------,---------,------,,100,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005947,01,0965,5,196790122200,CASH,-----------------------, ----------,---------,------,,180,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005948,01,0965,0,196791932485,CASH,-----------------------, ----------,---------,------,,580,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005949,01,0965,5,196790121467,CASH,-----------------------, ----------,---------,------,,490,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005950,01,0965,5,195580071738,CASH,-----------------------, ----------,---------,------,,290,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005951,05,0965,6,196190001484,NEFT,-----------------------, ----------,---------,------,,1090,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
010965012-Medha Sub Division Office Coll.,03-Nov-25,B06766,0005951,01,0965,6,196190001484,NEFT,-----------------------, ----------,---------,------,,4410,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158946,01,0965,1,195880090378,CASH,-----------------------, ----------,---------,------,,530,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158947,01,0965,1,195881964444,CASH,-----------------------, ----------,---------,------,,210,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158948,01,0965,1,195880090530,CASH,-----------------------, ----------,---------,------,,320,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158949,01,0965,8,195041985246,CASH,-----------------------, ----------,---------,------,,120,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158950,01,0965,8,195141950695,CASH,-----------------------, ----------,---------,------,,340,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158951,01,0965,8,195140001461,CASH,-----------------------, ----------,---------,------,,210,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158952,01,0965,8,195141949395,CASH,-----------------------, ----------,---------,------,,400,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158953,01,0965,8,195490000904,CASH,-----------------------, ----------,---------,------,,470,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158954,01,0965,1,195870089843,CASH,-----------------------, ----------,---------,------,,400,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158955,01,0965,8,195490001030,CASH,-----------------------, ----------,---------,------,,310,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158956,01,0965,8,195490001340,CASH,-----------------------, ----------,---------,------,,460,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158957,01,0965,1,195870089878,CASH,-----------------------, ----------,---------,------,,200,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158958,01,0965,1,195871969456,CASH,-----------------------, ----------,---------,------,,280,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158959,01,0965,1,195870000061,CASH,-----------------------, ----------,---------,------,,350,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158960,01,0965,1,195870089657,CASH,-----------------------, ----------,---------,------,,210,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158961,01,0965,1,195870001776,CASH,-----------------------, ----------,---------,------,,130,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158962,01,0965,1,195870002209,CASH,-----------------------, ----------,---------,------,,400,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158963,01,0965,8,195041951686,CASH,-----------------------, ----------,---------,------,,660,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158964,01,0965,8,195491924824,CASH,-----------------------, ----------,---------,------,,680,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158965,01,0965,2,195230000765,CASH,-----------------------, ----------,---------,------,,710,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158966,01,0965,1,195871969031,CASH,-----------------------, ----------,---------,------,,520,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158967,01,0965,1,195870089835,CASH,-----------------------, ----------,---------,------,,460,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158968,01,0965,1,195870001610,CASH,-----------------------, ----------,---------,------,,3630,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158969,01,0965,0,195870000711,CASH,-----------------------, ----------,---------,------,,1210,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158970,01,0965,1,195870089487,CASH,-----------------------, ----------,---------,------,,930,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158971,01,0965,8,195040018421,CASH,-----------------------, ----------,---------,------,,1110,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158972,01,0965,8,195111945719,CASH,-----------------------, ----------,---------,------,,2980,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158973,01,0965,8,195040046793,CASH,-----------------------, ----------,---------,------,,370,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117591,01,0965,5,195740001324,CASH,-----------------------, ----------,---------,------,,930,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117592,01,0965,5,196800001058,CASH,-----------------------, ----------,---------,------,,390,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117593,01,0965,5,196800001066,CASH,-----------------------, ----------,---------,------,,1120,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117594,01,0965,5,195240000763,CASH,-----------------------, ----------,---------,------,,130,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117595,01,0965,5,195240001409,CASH,-----------------------, ----------,---------,------,,610,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117596,01,0965,5,195240000640,CASH,-----------------------, ----------,---------,------,,220,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117597,01,0965,5,196790001879,CASH,-----------------------, ----------,---------,------,,490,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117598,01,0965,1,196250106922,CASH,-----------------------, ----------,---------,------,,180,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117599,01,0965,6,196710000851,CASH,-----------------------, ----------,---------,------,,390,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117600,01,0965,5,195011901030,CASH,-----------------------, ----------,---------,------,,1190,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
